自2021年以来，哪些城市见证了分支机构的增加，又是由哪些银行推动的？\tWITH pre_2021_branches AS (\n    SELECT id_rssd_parent,\n           city,\n           COUNT(*) AS pre_2021_count\n    FROM financial_data_package.cybersyn.financial_branch_entities\n    WHERE start_date < '2021-01-01'\n      AND (end_date >= '2021-01-01' OR end_date IS NULL)\n    GROUP BY id_rssd_parent, city\n), post_2021_branches AS (\n    SELECT id_rssd_parent,\n           city,\n           COUNT(*) AS post_2021_count\n    FROM financial_data_package.cybersyn.financial_branch_entities\n    WHERE start_date >= '2021-01-01'\n    GROUP BY id_rssd_parent, city\n)\nSELECT post_2021_branches.city,\n       bank_names.name,\n       post_2021_count - pre_2021_count AS branch_change\nFROM post_2021_branches\nINNER JOIN financial_data_package.cybersyn.financial_institution_entities AS bank_names ON (post_2021_branches.id_rssd_parent = bank_names.id_rssd)\nLEFT JOIN pre_2021_branches ON (post_2021_branches.id_rssd_parent = pre_2021_branches.id_rssd_parent AND post_2021_branches.city = pre_2021_branches.city)\nWHERE post_2021_count > pre_2021_count\nORDER BY branch_change DESC;
Which 5 countries saw the most %increase in fertility between 2012 and 2020 ? where life expectancy is not null in 2012 ,\tSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as increase_percentage\nFROM   (SELECT geo_id,\n               date,\n               value\n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n        WHERE  variable_name = 'Fertility Rate, worldbank.org'\n           and date = '2012-01-01') as ts join (SELECT geo_id,\n                                            date,\n                                            value\n                                     FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n                                     WHERE  variable_name = 'Fertility Rate, worldbank.org'\n                                        and date = '2020-01-01') as ts2\n        ON ts.geo_id = ts2.geo_id join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and ts.value is not null\nORDER BY increase_percentage desc limit 5;
2012年至2020年间，生育率增长百分比最高的五个国家是哪些？这些国家在2012年的预期寿命不为零。\tSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as increase_percentage\nFROM   (SELECT geo_id,\n               date,\n               value\n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n        WHERE  variable_name = 'Fertility Rate, worldbank.org'\n           and date = '2012-01-01') as ts join (SELECT geo_id,\n                                            date,\n                                            value\n                                     FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n                                     WHERE  variable_name = 'Fertility Rate, worldbank.org'\n                                        and date = '2020-01-01') as ts2\n        ON ts.geo_id = ts2.geo_id join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and ts.value is not null\nORDER BY increase_percentage desc limit 5;
Which 5 countries has the maximum Annual Electricity Consumption in 2019 ?\tSELECT gi.geo_name,\n       dcts.value as annual_electricity_consumption\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as dcts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as gi\n        ON dcts.geo_id = gi.geo_id\nWHERE  dcts.variable_name = 'Annual Electricity Consumption'\n   and gi.level = 'Country'\n   and dcts.date between '2019-01-01'\n   and '2019-12-31'\nORDER BY dcts.value desc limit 5
2019年年度电力消费量最高的五个国家是哪些？\tSELECT gi.geo_name,\n       dcts.value as annual_electricity_consumption\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as dcts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as gi\n        ON dcts.geo_id = gi.geo_id\nWHERE  dcts.variable_name = 'Annual Electricity Consumption'\n   and gi.level = 'Country'\n   and dcts.date between '2019-01-01'\n   and '2019-12-31'\nORDER BY dcts.value desc limit 5
which country has the most population in 2018 ?\tSELECT geo.geo_name,\n       ts.value as total_population\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Total Population, census.gov'\n   and geo.level = 'Country'\n   and ts.date = '2018-01-01'\nORDER BY ts.value desc limit 1;
2018年，哪个国家的人口最多？\tSELECT geo.geo_name,\n       ts.value as total_population\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Total Population, census.gov'\n   and geo.level = 'Country'\n   and ts.date = '2018-01-01'\nORDER BY ts.value desc limit 1;
Which country has lowest but greater than 0 cumulative rainfall ?\tSELECT geo.geo_name,\n       sum(ts.value) as cumulative_rainfall\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Mean Rainfall'\n   and geo.level = 'Country'\n   and ts.date between '2019-01-01'\n   and '2019-12-31'\nGROUP BY geo.geo_name having sum(ts.value) > 0\nORDER BY cumulative_rainfall asc limit 1
哪个国家的累计降雨量最低但大于零？\tSELECT geo.geo_name,\n       sum(ts.value) as cumulative_rainfall\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Mean Rainfall'\n   and geo.level = 'Country'\n   and ts.date between '2019-01-01'\n   and '2019-12-31'\nGROUP BY geo.geo_name having sum(ts.value) > 0\nORDER BY cumulative_rainfall asc limit 1
What are different geo names and related geo names, for countries\tSELECT geo_name,\n       related_geo_name\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.geography_relationships\nWHERE  level = 'Country'\nORDER BY geo_name, related_geo_name
不同国家的地理名称及其相关地理名称包括：\n\n1. 美国（United States）- 相关地理名称：纽约（New York）、加利福尼亚（California）、德克萨斯（Texas）等。\n2. 中国（China）- 相关地理名称：北京（Beijing）、上海（Shanghai）、广东（Guangdong）等。\n3. 印度（India）- 相关地理名称：孟买（Mumbai）、德里（Delhi）、班加罗尔（Bangalore）等。\n4. 巴西（Brazil）- 相关地理名称：圣保罗（São Paulo）、里约热内卢（Rio de Janeiro）、巴西利亚（Brasília）等。\n5. 俄罗斯（Russia）- 相关地理名称：莫斯科（Moscow）、圣彼得堡（St. Petersburg）、叶卡捷琳堡（Yekaterinburg）等。\n\n这些是一些主要国家的地理名称及其相关地理名称的例子。\tSELECT geo_name,\n       related_geo_name\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.geography_relationships\nWHERE  level = 'Country'\nORDER BY geo_name, related_geo_name
what are the public holidays in united states in 2023. make sure the dates are unique. order by the date.\tSELECT DISTINCT holiday_name,\n                date\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar\nWHERE  geo_id = 'country/USA'\n   and date between '2023-01-01'\n   and '2023-12-31'\nORDER BY date asc
2023年美国公共假期如下，日期均为独特且按日期顺序排列：\n\n1. 元旦 - 2023年1月1日（星期日）\n2. 马丁·路德·金纪念日 - 2023年1月16日（星期一）\n3. 总统日 - 2023年2月20日（星期一）\n4. 纪念日 - 2023年5月29日（星期一）\n5. 独立日 - 2023年7月4日（星期二）\n6. 劳动节 - 2023年9月4日（星期一）\n7. 哥伦布日 - 2023年10月9日（星期一）\n8. 退伍军人节 - 2023年11月11日（星期六）\n9. 感恩节 - 2023年11月23日（星期四）\n10. 圣诞节 - 2023年12月25日（星期一）\tSELECT DISTINCT holiday_name,\n                date\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar\nWHERE  geo_id = 'country/USA'\n   and date between '2023-01-01'\n   and '2023-12-31'\nORDER BY date asc
Which 5 countries have the lowest rainfall in 2023?\tSELECT geo.geo_name,\n       sum(ts.value) as cumulative_rainfall\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Mean Rainfall'\n   and geo.level = 'Country'\n   and ts.date between '2023-01-01'\n   and '2023-12-31'\nGROUP BY geo.geo_name\nORDER BY cumulative_rainfall asc limit 5
2023年哪些5个国家降雨量最少？\tSELECT geo.geo_name,\n       sum(ts.value) as cumulative_rainfall\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Mean Rainfall'\n   and geo.level = 'Country'\n   and ts.date between '2023-01-01'\n   and '2023-12-31'\nGROUP BY geo.geo_name\nORDER BY cumulative_rainfall asc limit 5
List all the public holidays in the United States in 2023. Show all columns\tSELECT *\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar\nWHERE  geo_id = 'country/USA'\n   and date between '2023-01-01'\n   and '2023-12-31
2023年美国公共假期一览表：\n\n1. 元旦（New Year's Day）- 2023年1月1日（星期日）\n2. 马丁·路德·金纪念日（Martin Luther King Jr. Day）- 2023年1月16日（星期一）\n3. 总统日（Presidents' Day）- 2023年2月20日（星期一）\n4. 阵亡将士纪念日（Memorial Day）- 2023年5月29日（星期一）\n5. 独立日（Independence Day）- 2023年7月4日（星期二）\n6. 劳动节（Labor Day）- 2023年9月4日（星期一）\n7. 哥伦布日（Columbus Day）- 2023年10月9日（星期一）\n8. 退伍军人节（Veterans Day）- 2023年11月11日（星期六）\n9. 感恩节（Thanksgiving Day）- 2023年11月23日（星期四）\n10. 圣诞节（Christmas Day）- 2023年12月25日（星期一）\n\n请注意，某些州或地区可能会有额外的公共假期，具体日期和名称可能会有所不同。\tSELECT *\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar\nWHERE  geo_id = 'country/USA'\n   and date between '2023-01-01'\n   and '2023-12-31
what is the average rainfall in each country in 2023 ?\tSELECT geo.geo_name,\n       avg(ts.value) as average_rainfall\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Rainfall'\n   and geo.level = 'Country'\n   and ts.date = '2023-01-01'\nGROUP BY geo.geo_name\nORDER BY average_rainfall desc
2023年各国平均降水量是多少？\tSELECT geo.geo_name,\n       avg(ts.value) as average_rainfall\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Rainfall'\n   and geo.level = 'Country'\n   and ts.date = '2023-01-01'\nGROUP BY geo.geo_name\nORDER BY average_rainfall desc
what are the top 10 countries by the most public holidays in 2023?\tSELECT geo.geo_name,\n       count(distinct holiday_name) as num_holidays\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar as cal join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON cal.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and cal.date between '2023-01-01'\n   and '2023-12-31'\nGROUP BY geo.geo_name\nORDER BY num_holidays desc limit 10
2023年公共假期最多的十大国家是哪些？\tSELECT geo.geo_name,\n       count(distinct holiday_name) as num_holidays\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar as cal join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON cal.geo_id = geo.geo_id\nWHERE  geo.level = 'Country'\n   and cal.date between '2023-01-01'\n   and '2023-12-31'\nGROUP BY geo.geo_name\nORDER BY num_holidays desc limit 10
What are different countries we have information about ?\tSELECT DISTINCT iso_name\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index\nWHERE  level = 'Country'\nORDER BY iso_name;
我们拥有不同国家的信息，包括但不限于美国、中国、英国、德国、法国、日本、印度、巴西、俄罗斯、加拿大、澳大利亚等。\tSELECT DISTINCT iso_name\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index\nWHERE  level = 'Country'\nORDER BY iso_name;
Which country has had the maximum growth of Mean Temperature from 2010 to 2020?\tThe corrected SQL code would be:\n\n```\nSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as growth_percentage\nFROM   (SELECT geo_id as geo_id1,\n               date,\n               MAX(value) as value \n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries ts \n        join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\n        and geo.level = 'Country'\n        WHERE  variable_name = 'Mean Temperature'\n           and date = '2010-01-01'\n       ) as ts  \n    join (SELECT geo_id as geo_id2,\n                 date,\n                 MAX(value) as value \n          FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries ts \n          join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n          ON ts.geo_id = geo.geo_id\n          and geo.level = 'Country'\n          WHERE  variable_name = 'Mean Temperature'\n          and date = '2020-01-01'\n       ) as ts2\n        ON ts.geo_id1 = ts2.geo_id2 \n    join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id1 = geo.geo_id\nWHERE  geo.level = 'Country'\nORDER BY growth_percentage desc limit 1 \n``` \n\nI added the table alias 'geo' to the SELECT statement in order to specify which table the column 'GEO_ID' should be selected from. \n\n\n The error was 002028 (42601): SQL compilation error:\nambiguous column name 'GEO_ID
2010年至2020年间，哪个国家的平均气温增长幅度最大？\tThe corrected SQL code would be:\n\n```\nSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as growth_percentage\nFROM   (SELECT geo_id as geo_id1,\n               date,\n               MAX(value) as value \n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries ts \n        join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\n        and geo.level = 'Country'\n        WHERE  variable_name = 'Mean Temperature'\n           and date = '2010-01-01'\n       ) as ts  \n    join (SELECT geo_id as geo_id2,\n                 date,\n                 MAX(value) as value \n          FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries ts \n          join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n          ON ts.geo_id = geo.geo_id\n          and geo.level = 'Country'\n          WHERE  variable_name = 'Mean Temperature'\n          and date = '2020-01-01'\n       ) as ts2\n        ON ts.geo_id1 = ts2.geo_id2 \n    join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id1 = geo.geo_id\nWHERE  geo.level = 'Country'\nORDER BY growth_percentage desc limit 1 \n``` \n\nI added the table alias 'geo' to the SELECT statement in order to specify which table the column 'GEO_ID' should be selected from. \n\n\n The error was 002028 (42601): SQL compilation error:\nambiguous column name 'GEO_ID
Which country has lowest but greater than 0 cumulative rainfall in 2023?\tSELECT geo.geo_name,\n       sum(ts.value) as cumulative_rainfall\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Mean Rainfall'\n   and geo.level = 'Country'\n   and ts.date between '2023-01-01'\n   and '2023-12-31'\nGROUP BY geo.geo_name having sum(ts.value) > 0\nORDER BY cumulative_rainfall asc limit 1
2023年累计降雨量最低但大于零的国家是哪个？\tSELECT geo.geo_name,\n       sum(ts.value) as cumulative_rainfall\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Mean Rainfall'\n   and geo.level = 'Country'\n   and ts.date between '2023-01-01'\n   and '2023-12-31'\nGROUP BY geo.geo_name having sum(ts.value) > 0\nORDER BY cumulative_rainfall asc limit 1
What is the overall percentage population growth of california and US  from 2010 to 2018 ? Take max of population for each year to clean the data \tThe corrected SQL code is:\n\n```\nSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as growth_percentage\nFROM   (SELECT \n               datacommons_timeseries.geo_id,\n               max(value) as value\n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n  join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON datacommons_timeseries.geo_id = geo.geo_id\n        WHERE  variable_name = 'Total Population, census.gov'\n           and date = '2010-01-01'\n           and (geo.geo_name = 'California'\n           and geo.level = 'State')\n           or (geo.geo_name = 'United States'\n           and geo.level = 'Country')\n        GROUP BY datacommons_timeseries.geo_id) as ts\n join (SELECT \n              datacommons_timeseries.geo_id,\n               max(value) as value\n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n  join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON datacommons_timeseries.geo_id = geo.geo_id\n        WHERE  variable_name = 'Total Population, census.gov'\n        and date = '2018-01-01'\n        and (geo.geo_name = 'California'\n        and geo.level = 'State')\n         or (geo.geo_name = 'United States'\n        and geo.level = 'Country')\n         GROUP BY datacommons_timeseries.geo_id) as ts2\n     ON ts.geo_id = ts2.geo_id\n        join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nORDER BY geo.geo_name\n```
从2010年到2018年，加利福尼亚州和美国的总人口增长率分别是多少？请取每年最大人口数以净化数据。\tThe corrected SQL code is:\n\n```\nSELECT geo.geo_name,\n       ((ts2.value - ts.value) / ts.value) * 100 as growth_percentage\nFROM   (SELECT \n               datacommons_timeseries.geo_id,\n               max(value) as value\n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n  join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON datacommons_timeseries.geo_id = geo.geo_id\n        WHERE  variable_name = 'Total Population, census.gov'\n           and date = '2010-01-01'\n           and (geo.geo_name = 'California'\n           and geo.level = 'State')\n           or (geo.geo_name = 'United States'\n           and geo.level = 'Country')\n        GROUP BY datacommons_timeseries.geo_id) as ts\n join (SELECT \n              datacommons_timeseries.geo_id,\n               max(value) as value\n        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries\n  join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON datacommons_timeseries.geo_id = geo.geo_id\n        WHERE  variable_name = 'Total Population, census.gov'\n        and date = '2018-01-01'\n        and (geo.geo_name = 'California'\n        and geo.level = 'State')\n         or (geo.geo_name = 'United States'\n        and geo.level = 'Country')\n         GROUP BY datacommons_timeseries.geo_id) as ts2\n     ON ts.geo_id = ts2.geo_id\n        join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nORDER BY geo.geo_name\n```
Which 5 countries has the maximum Annual Electricity Consumption in 2015 ?\tSELECT gi.geo_name,\n       dcts.value as annual_electricity_consumption\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as dcts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as gi\n        ON dcts.geo_id = gi.geo_id\nWHERE  dcts.variable_name = 'Annual Electricity Consumption'\n   and gi.level = 'Country'\n   and dcts.date between '2015-01-01'\n   and '2015-12-31'\nORDER BY dcts.value desc limit 5
2015年，年用电量最高的五个国家是哪些？\tSELECT gi.geo_name,\n       dcts.value as annual_electricity_consumption\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as dcts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as gi\n        ON dcts.geo_id = gi.geo_id\nWHERE  dcts.variable_name = 'Annual Electricity Consumption'\n   and gi.level = 'Country'\n   and dcts.date between '2015-01-01'\n   and '2015-12-31'\nORDER BY dcts.value desc limit 5
What are the first 10 rows in the GEOGRAPHY_RELATIONSHIPS table?\tSELECT GEO_NAME, GEO_ID, LEVEL, RELATED_GEO_NAME, RELATED_GEO_ID, RELATED_LEVEL, RELATIONSHIP_TYPE\nFROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.CYBERSYN.GEOGRAPHY_RELATIONSHIPS\nLIMIT 10
地理关系表（GEOGRAPHY_RELATIONSHIPS）中的前10行是什么？\tSELECT GEO_NAME, GEO_ID, LEVEL, RELATED_GEO_NAME, RELATED_GEO_ID, RELATED_LEVEL, RELATIONSHIP_TYPE\nFROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.CYBERSYN.GEOGRAPHY_RELATIONSHIPS\nLIMIT 10
What are the first 10 rows in the PUBLIC_HOLIDAY_CALENDAR table?\tSELECT GEO_ID, ISO_ALPHA2, DATE, HOLIDAY_NAME, SUBDIVISION, IS_FINANCIAL\nFROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.CYBERSYN.PUBLIC_HOLIDAY_CALENDAR\nLIMIT 10
以下是PUBLIC_HOLIDAY_CALENDAR表的前10行数据：\tSELECT GEO_ID, ISO_ALPHA2, DATE, HOLIDAY_NAME, SUBDIVISION, IS_FINANCIAL\nFROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.CYBERSYN.PUBLIC_HOLIDAY_CALENDAR\nLIMIT 10
show Unemployment Rates in New York City vs. New York state\tSELECT ts.date,\n       geo.geo_name,\n       geo.level,\n       ts.value\nFROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.datacommons_timeseries AS ts\nJOIN CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.geography_index AS geo ON (ts.geo_id = geo.geo_id)\nWHERE geo.geo_name = 'New York'\n  AND geo.level IN ('State', 'City')\n  AND ts.variable_name ILIKE 'Unemployment Rate%'\n  AND date >= '2015-01-01'\nORDER BY date
展示纽约市与纽约州失业率对比\tSELECT ts.date,\n       geo.geo_name,\n       geo.level,\n       ts.value\nFROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.datacommons_timeseries AS ts\nJOIN CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.geography_index AS geo ON (ts.geo_id = geo.geo_id)\nWHERE geo.geo_name = 'New York'\n  AND geo.level IN ('State', 'City')\n  AND ts.variable_name ILIKE 'Unemployment Rate%'\n  AND date >= '2015-01-01'\nORDER BY date
On which day did Sierra Leone receive maximum rainfall along with the unit? \tThe corrected SQL query is:\n\n```\nSELECT date,\n       value,\n       datacommons_timeseries.unit\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries \nJOIN   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_attributes\n       ON datacommons_timeseries.variable_name = datacommons_attributes.variable_name\nWHERE  geo_id = 'country/SLE'\n       AND datacommons_timeseries.variable_name = 'Mean Rainfall'\nORDER BY value DESC \nLIMIT 1;\n```\n\nThe error occurred because the column name `variable_name` was ambiguous in the query. I specified which table the column `variable_name` should be selected from to return a valid SQL code.
塞拉利昂在哪一天降雨量最大，并附带单位？\tThe corrected SQL query is:\n\n```\nSELECT date,\n       value,\n       datacommons_timeseries.unit\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries \nJOIN   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_attributes\n       ON datacommons_timeseries.variable_name = datacommons_attributes.variable_name\nWHERE  geo_id = 'country/SLE'\n       AND datacommons_timeseries.variable_name = 'Mean Rainfall'\nORDER BY value DESC \nLIMIT 1;\n```\n\nThe error occurred because the column name `variable_name` was ambiguous in the query. I specified which table the column `variable_name` should be selected from to return a valid SQL code.
Compare Median Income to Median Age by Zipcode\tSELECT t1.geo_name,\n       t1.geo_id,\n       x as Median_Income,\n       y as Median_Age\nFROM\n  (WITH x_cte AS\n     (SELECT geo_name,\n             ts.geo_id,\n             value AS x,\n             ROW_NUMBER() OVER (PARTITION BY ts.geo_id\n                                ORDER BY date DESC) AS rn\n      FROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.datacommons_timeseries AS ts\n      JOIN CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.geography_index AS geo ON (ts.geo_id = geo.geo_id)\n      WHERE level = 'CensusZipCodeTabulationArea'\n        AND variable_name = 'Median Income for All Households') SELECT geo_name,\n                                                    geo_id,\n                                                    x\n   FROM x_cte\n   WHERE rn=1) t1\nJOIN\n  (WITH y_cte AS\n     (SELECT geo_name,\n             ts.geo_id,\n             value AS y,\n             ROW_NUMBER() OVER (PARTITION BY ts.geo_id\n                                ORDER BY date DESC) AS rn\n      FROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.datacommons_timeseries AS ts\n      JOIN CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.geography_index AS geo ON (ts.geo_id = geo.geo_id)\n      WHERE level = 'CensusZipCodeTabulationArea'\n        AND variable_name = 'Median Age of Population') SELECT geo_id,\n                                                 y\n   FROM y_cte\n   WHERE rn = 1) t2 ON t1.GEO_ID = t2.GEO_ID\nORDER BY t1.geo_name
按邮编比较中位收入与中位年龄\tSELECT t1.geo_name,\n       t1.geo_id,\n       x as Median_Income,\n       y as Median_Age\nFROM\n  (WITH x_cte AS\n     (SELECT geo_name,\n             ts.geo_id,\n             value AS x,\n             ROW_NUMBER() OVER (PARTITION BY ts.geo_id\n                                ORDER BY date DESC) AS rn\n      FROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.datacommons_timeseries AS ts\n      JOIN CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.geography_index AS geo ON (ts.geo_id = geo.geo_id)\n      WHERE level = 'CensusZipCodeTabulationArea'\n        AND variable_name = 'Median Income for All Households') SELECT geo_name,\n                                                    geo_id,\n                                                    x\n   FROM x_cte\n   WHERE rn=1) t1\nJOIN\n  (WITH y_cte AS\n     (SELECT geo_name,\n             ts.geo_id,\n             value AS y,\n             ROW_NUMBER() OVER (PARTITION BY ts.geo_id\n                                ORDER BY date DESC) AS rn\n      FROM CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.datacommons_timeseries AS ts\n      JOIN CYBERSYN_US__GLOBAL_PUBLIC_DATA_STARTER_KIT.cybersyn.geography_index AS geo ON (ts.geo_id = geo.geo_id)\n      WHERE level = 'CensusZipCodeTabulationArea'\n        AND variable_name = 'Median Age of Population') SELECT geo_id,\n                                                 y\n   FROM y_cte\n   WHERE rn = 1) t2 ON t1.GEO_ID = t2.GEO_ID\nORDER BY t1.geo_name
Which 5 countries have the highest Fertility Rate?\tSELECT geo.geo_name,\n       avg(ts.value) as avg_fertility_rate\nFROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo\n        ON ts.geo_id = geo.geo_id\nWHERE  ts.variable_name = 'Fertility Rate, worldbank.org'\n   and geo.level = 'Country'\nGROUP BY geo.geo_name\nORDER BY avg_fertility_rate desc limit 5
